File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biosample Age	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF072BJK	bam	alignments	ENCSR000AIZ	single cell isolation followed by RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					Control-human		RNA		None	72 degrees for 3 minutes in the presence of Triton		2014-09-29	ENCODE		chemical (Nextera tagmentation)	>200		2	1						ENCFF002EXI, ENCFF002EXN, ENCFF002EXP, ENCFF002EXQ, ENCFF002EXR, ENCFF742NER	6213353805	ENCODE Processing Pipeline	505a451ba945744705307471efe14b81	https://www.encodeproject.org/files/ENCFF072BJK/@@download/ENCFF072BJK.bam	GRCh38			released		NTR assay, inconsistent assay_term_id		
ENCFF231MEC	bam	transcriptome alignments	ENCSR000AIZ	single cell isolation followed by RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					Control-human		RNA		None	72 degrees for 3 minutes in the presence of Triton		2014-09-29	ENCODE		chemical (Nextera tagmentation)	>200		2	1						ENCFF002EXI, ENCFF002EXN, ENCFF002EXP, ENCFF002EXQ, ENCFF002EXR, ENCFF742NER	5494249045	ENCODE Processing Pipeline	13de17e9b412455e5dfaba1f2d7e5ede	https://www.encodeproject.org/files/ENCFF231MEC/@@download/ENCFF231MEC.bam	GRCh38			released		NTR assay, inconsistent assay_term_id		
ENCFF000RQX	bam	alignments	ENCSR000DLE	ChIP-seq	EFO:0002789	GM19239	immortalized cell line	unknown	male	Homo sapiens					CTCF-human	ENCAB000AXY	DNA		see document	see document		2011-03-17	ENCODE		see document			1	1							835541677	Vishwanath Iyer, UTA	ccb9a29b87e6e2cbce5499f79c2cb8c4	https://www.encodeproject.org/files/ENCFF000RQX/@@download/ENCFF000RQX.bam	hg19			released		biological replicates with identical biosample	missing possible_controls	
ENCFF000RRB	bam	alignments	ENCSR000DLE	ChIP-seq	EFO:0002789	GM19239	immortalized cell line	unknown	male	Homo sapiens					CTCF-human	ENCAB000AXY	DNA		see document	see document		2011-03-17	ENCODE		see document			2	1							184119153	Vishwanath Iyer, UTA	866bb0b95cd46b91e20519f20387172a	https://www.encodeproject.org/files/ENCFF000RRB/@@download/ENCFF000RRB.bam	hg19			released		biological replicates with identical biosample	missing possible_controls	
ENCFF563WQV	bam	alignments	ENCSR207PFI	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					ZBED1-human	ENCAB000AAK	DNA					2016-02-05	ENCODE					2							ENCFF583BRM, ENCFF807MUK	896436280	ENCODE Processing Pipeline	c863e3c9a4b93c39d6f7b7955df320d7	https://www.encodeproject.org/files/ENCFF563WQV/@@download/ENCFF563WQV.bam	hg19			released	borderline replicate concordance	mismatched file status		
ENCFF534KZJ	bam	alignments	ENCSR207PFI	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					ZBED1-human	ENCAB000AAK	DNA					2016-02-05	ENCODE					1							ENCFF204SCC, ENCFF807MUK	1529926606	ENCODE Processing Pipeline	6cccf27645b6e4e60e6abe2e7729c540	https://www.encodeproject.org/files/ENCFF534KZJ/@@download/ENCFF534KZJ.bam	hg19			released	borderline replicate concordance	mismatched file status		
ENCFF001EWW	bam	alignments	ENCSR000DRX	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					H3K27me3-human	ENCAB000ANB	DNA		see document	see document		2011-02-11	ENCODE		see document			1	1						ENCFF001EXM	559381006	John Stamatoyannopoulos, UW	e88f0e21caf64f0bbf703666057221a1	https://www.encodeproject.org/files/ENCFF001EWW/@@download/ENCFF001EWW.bam	hg19			released				
ENCFF001EWZ	bam	alignments	ENCSR000DRX	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					H3K27me3-human	ENCAB000ANB	DNA		see document	see document		2011-02-11	ENCODE		see document			2	1						ENCFF001EXO	754049399	John Stamatoyannopoulos, UW	f0d1cff7235b7200ddb44aa948892975	https://www.encodeproject.org/files/ENCFF001EWZ/@@download/ENCFF001EWZ.bam	hg19			released				
ENCFF209SJM	bam	alignments	ENCSR626VUC	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					ETV6-human	ENCAB000ABD	DNA		see document	see document		2014-07-07	ENCODE					1							ENCFF002BFK, ENCFF807MUK	1317947874	ENCODE Processing Pipeline	810097b2a3d3f3fb148e106e5eade5e9	https://www.encodeproject.org/files/ENCFF209SJM/@@download/ENCFF209SJM.bam	hg19			released	antibody characterized with exemption, borderline replicate concordance	mismatched file status		
ENCFF901ETI	bam	alignments	ENCSR626VUC	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					ETV6-human	ENCAB000ABD	DNA		see document	see document		2014-07-07	ENCODE					2							ENCFF002BFL, ENCFF807MUK	1296681228	ENCODE Processing Pipeline	35ba72acf22f34470001a2bdf0d546f5	https://www.encodeproject.org/files/ENCFF901ETI/@@download/ENCFF901ETI.bam	hg19			released	antibody characterized with exemption, borderline replicate concordance	mismatched file status		
ENCFF000NXH	bam	alignments	ENCSR000BRH	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					MTA3-human	ENCAB000AIS	DNA		see document	see document		2012-02-29	ENCODE		see document			1	1							1781920093	Richard Myers, HAIB	bb7e51815add8c05b57bf70ea024a7e2	https://www.encodeproject.org/files/ENCFF000NXH/@@download/ENCFF000NXH.bam	hg19			released	inconsistent platforms	biological replicates with identical biosample		
ENCFF000NXI	bam	alignments	ENCSR000BRH	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					MTA3-human	ENCAB000AIS	DNA		see document	see document		2012-02-29	ENCODE		see document			2	1							1998873501	Richard Myers, HAIB	6ed47cc000eedcece3ae4b17bbfb7518	https://www.encodeproject.org/files/ENCFF000NXI/@@download/ENCFF000NXI.bam	hg19			released	inconsistent platforms	biological replicates with identical biosample		
ENCFF000VAW	bam	alignments	ENCSR000CWT	RIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					T7-control-human	ENCAB000ALL	DNA		see document	see document		2011-08-29	ENCODE		see document			2	1							628817873	Scott Tenenbaum, SUNY-Albany	d64d6a2790ec360bed0b24d1e7705426	https://www.encodeproject.org/files/ENCFF000VAW/@@download/ENCFF000VAW.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VAX	bam	alignments	ENCSR000CWT	RIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					T7-control-human	ENCAB000ALL	DNA		see document	see document		2011-08-29	ENCODE		see document			1	1							1348593888	Scott Tenenbaum, SUNY-Albany	e93f1b8f78fb9c35a579567513238557	https://www.encodeproject.org/files/ENCFF000VAX/@@download/ENCFF000VAX.bam	hg19			released		biological replicates with identical biosample		
ENCFF000WFW	bam	alignments	ENCSR000EAA	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					WRNIP1-human	ENCAB000AMJ	DNA		see document	see document		2011-10-29	ENCODE		see document			1	1							351434930	Michael Snyder, Stanford	ad6c1639ab12b9e7a339f44abab9b5f3	https://www.encodeproject.org/files/ENCFF000WFW/@@download/ENCFF000WFW.bam	hg19			released		biological replicates with identical biosample		
ENCFF000WFY	bam	alignments	ENCSR000EAA	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					WRNIP1-human	ENCAB000AMJ	DNA		see document	see document		2011-10-29	ENCODE		see document			2	1							355250413	Michael Snyder, Stanford	8b91130f9cca474b873481c37f998298	https://www.encodeproject.org/files/ENCFF000WFY/@@download/ENCFF000WFY.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VYJ	bam	alignments	ENCSR000DZA	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					MAZ-human	ENCAB000AIM	DNA		see document	see document		2012-05-14	ENCODE		see document			1	1							548813423	Michael Snyder, Stanford	d40f850c2a4d12fe5381ab2c64278186	https://www.encodeproject.org/files/ENCFF000VYJ/@@download/ENCFF000VYJ.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VYK	bam	alignments	ENCSR000DZA	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					MAZ-human	ENCAB000AIM	DNA		see document	see document		2012-05-14	ENCODE		see document			2	1							568196210	Michael Snyder, Stanford	f4662da80972dfc4d670ee33470c49e3	https://www.encodeproject.org/files/ENCFF000VYK/@@download/ENCFF000VYK.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VZO	bam	alignments	ENCSR000DNN	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					NFYA-human	ENCAB000AJC	DNA		see document	see document		2011-10-29	ENCODE		see document			1	1							311437096	Kevin Struhl, HMS	ffbd704f77cb644d5012301533cd0536	https://www.encodeproject.org/files/ENCFF000VZO/@@download/ENCFF000VZO.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VZP	bam	alignments	ENCSR000DNN	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					NFYA-human	ENCAB000AJC	DNA		see document	see document		2011-10-29	ENCODE		see document			2	1							325623406	Kevin Struhl, HMS	c606a5f7c06d6fc5aa8af0496a43336d	https://www.encodeproject.org/files/ENCFF000VZP/@@download/ENCFF000VZP.bam	hg19			released		biological replicates with identical biosample		
ENCFF000LMO	bam	alignments	ENCSR000BZT	RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens		cytosol					polyadenylated mRNA		see document	see document		2010-11-17	ENCODE		see document	>200		1	1							670855514	Yijun Ruan, GIS	cbe74aad388e38dfb2ca4da93f6a9fee	https://www.encodeproject.org/files/ENCFF000LMO/@@download/ENCFF000LMO.bam	hg19			released				
ENCFF000DAV	bam	splice junctions	ENCSR077AZT	RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							polyadenylated mRNA		see document	see document		2011-02-08	ENCODE		see document	>200		2	1							443889075	Barbara Wold, Caltech	5a1ed642ee3842aa3b4618d223fea4d2	https://www.encodeproject.org/files/ENCFF000DAV/@@download/ENCFF000DAV.bam	hg19			released				
ENCFF000DBD	bam	alignments	ENCSR077AZT	RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							polyadenylated mRNA		see document	see document		2011-02-08	ENCODE		see document	>200		2	1							3019218827	Barbara Wold, Caltech	b795de6855f4a9a159fcd17ceb7d5901	https://www.encodeproject.org/files/ENCFF000DBD/@@download/ENCFF000DBD.bam	hg19			released				
ENCFF000VYZ	bam	alignments	ENCSR000DZY	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					NFE2-human	ENCAB000AJB	DNA		see document	see document		2011-10-29	ENCODE		see document			1	1							342046837	Michael Snyder, Stanford	50a3d79a271cdd2ea7d2a2003f9a2c6c	https://www.encodeproject.org/files/ENCFF000VYZ/@@download/ENCFF000VYZ.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VZB	bam	alignments	ENCSR000DZY	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					NFE2-human	ENCAB000AJB	DNA		see document	see document		2011-10-29	ENCODE		see document			2	1							337874036	Michael Snyder, Stanford	235981dcb3c84fa824c59b98f56c12f7	https://www.encodeproject.org/files/ENCFF000VZB/@@download/ENCFF000VZB.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VVS	bam	alignments	ENCSR000EUJ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					IKZF1-human	ENCAB000AHV	DNA		see document	see document		2012-05-14	ENCODE		see document			1	1							439498438	Peggy Farnham, USC	471cf6b88573c9becd318020fa9cd052	https://www.encodeproject.org/files/ENCFF000VVS/@@download/ENCFF000VVS.bam	hg19			released				
ENCFF000VVT	bam	alignments	ENCSR000EUJ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					IKZF1-human	ENCAB000AHV	DNA		see document	see document		2012-05-14	ENCODE		see document			2	1							693186617	Peggy Farnham, USC	c7f43718ec0e2d44cc8067f35ba9baeb	https://www.encodeproject.org/files/ENCFF000VVT/@@download/ENCFF000VVT.bam	hg19			released				
ENCFF001EXQ	bam	alignments	ENCSR000DRY	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					H3K4me3-human	ENCAB000ARB	DNA		see document	see document		2011-02-11	ENCODE		see document			1	1						ENCFF001EYF	891130378	John Stamatoyannopoulos, UW	abc43d6a009f795893b2994c8d6a9058	https://www.encodeproject.org/files/ENCFF001EXQ/@@download/ENCFF001EXQ.bam	hg19			released				
ENCFF001EXR	bam	alignments	ENCSR000DRY	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					H3K4me3-human	ENCAB000ARB	DNA		see document	see document		2011-02-11	ENCODE		see document			2	1						ENCFF001EYE	767281550	John Stamatoyannopoulos, UW	27c37de6508d9737915a0c9b8422ccbc	https://www.encodeproject.org/files/ENCFF001EXR/@@download/ENCFF001EXR.bam	hg19			released				
ENCFF325SGZ	bam	unfiltered alignments	ENCSR000DRY	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					H3K4me3-human	ENCAB000ARB	DNA		see document	see document		2011-02-11	ENCODE					2			36				ENCFF001EYE, ENCFF643CGH	989214742	ENCODE Processing Pipeline	ba6bae06cf053eb78ce5d5151a5cc87c	https://www.encodeproject.org/files/ENCFF325SGZ/@@download/ENCFF325SGZ.bam	GRCh38			released				
ENCFF589DPU	bam	unfiltered alignments	ENCSR000DRY	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					H3K4me3-human	ENCAB000ARB	DNA		see document	see document		2011-02-11	ENCODE					1			36				ENCFF001EYF, ENCFF643CGH	1095847617	ENCODE Processing Pipeline	a1cbb92c9e47931031c652611cf5d0d9	https://www.encodeproject.org/files/ENCFF589DPU/@@download/ENCFF589DPU.bam	GRCh38			released				
ENCFF822SQU	bam	alignments	ENCSR000DRY	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					H3K4me3-human	ENCAB000ARB	DNA		see document	see document		2011-02-11	ENCODE					2			36				ENCFF001EYE, ENCFF643CGH	635222074	ENCODE Processing Pipeline	c3c040936ee30711d7bd19a8dce4407f	https://www.encodeproject.org/files/ENCFF822SQU/@@download/ENCFF822SQU.bam	GRCh38			released	control low read depth			
ENCFF147ZCK	bam	alignments	ENCSR000DRY	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					H3K4me3-human	ENCAB000ARB	DNA		see document	see document		2011-02-11	ENCODE					1			36				ENCFF001EYF, ENCFF643CGH	750268860	ENCODE Processing Pipeline	78578b82677b1979c001d0b5ab717298	https://www.encodeproject.org/files/ENCFF147ZCK/@@download/ENCFF147ZCK.bam	GRCh38			released	control low read depth			
ENCFF748DIW	bam	alignments	ENCSR860UHK	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					CBFB-human	ENCAB725LFJ	DNA					2016-06-13	ENCODE					2							ENCFF807MUK, ENCFF862QDQ	765457821	ENCODE Processing Pipeline	c8984cb355c0e48c15ff5d268459c790	https://www.encodeproject.org/files/ENCFF748DIW/@@download/ENCFF748DIW.bam	hg19			released	low read depth, antibody characterized with exemption	mismatched file status		
ENCFF328CQA	bam	alignments	ENCSR860UHK	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					CBFB-human	ENCAB725LFJ	DNA					2016-06-13	ENCODE					1							ENCFF221TOX, ENCFF807MUK	1059935076	ENCODE Processing Pipeline	b27f486549583a87718892b6f276c619	https://www.encodeproject.org/files/ENCFF328CQA/@@download/ENCFF328CQA.bam	hg19			released	low read depth, antibody characterized with exemption	mismatched file status		
ENCFF000VZF	bam	alignments	ENCSR000EAG	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens	tumor necrosis factor				RELA-human	ENCAB000AJG	DNA		see document	see document		2012-05-14	ENCODE		see document			1	1							302546889	Michael Snyder, Stanford	f4f6cd23620e64e1d11ef30807a97f65	https://www.encodeproject.org/files/ENCFF000VZF/@@download/ENCFF000VZF.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VZG	bam	alignments	ENCSR000EAG	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens	tumor necrosis factor				RELA-human	ENCAB000AJG	DNA		see document	see document		2012-05-14	ENCODE		see document			2	1							531699913	Michael Snyder, Stanford	6cef37b54577399d804794bd49f4f946	https://www.encodeproject.org/files/ENCFF000VZG/@@download/ENCFF000VZG.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VZI	bam	alignments	ENCSR000EAG	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens	tumor necrosis factor				RELA-human	ENCAB000AJG	DNA		see document	see document		2012-05-14	ENCODE		see document			3	1							776778422	Michael Snyder, Stanford	6bbdb30bedc30b87a0fea555bbca64bf	https://www.encodeproject.org/files/ENCFF000VZI/@@download/ENCFF000VZI.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VZJ	bam	alignments	ENCSR000EAG	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens	tumor necrosis factor				RELA-human	ENCAB000AJG	DNA		see document	see document		2012-05-14	ENCODE		see document			4	1							818431727	Michael Snyder, Stanford	6da37769c2ef666c4e8150817e89ab36	https://www.encodeproject.org/files/ENCFF000VZJ/@@download/ENCFF000VZJ.bam	hg19			released		biological replicates with identical biosample		
ENCFF000NWF	bam	alignments	ENCSR000BGY	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					IRF4-human	ENCAB000AHZ	DNA		see document	see document		2011-07-18	ENCODE		see document			1	1							824439542	Richard Myers, HAIB	4e904d1bb23042695bdd045f2cbc46f9	https://www.encodeproject.org/files/ENCFF000NWF/@@download/ENCFF000NWF.bam	hg19			released		biological replicates with identical biosample		
ENCFF000NWK	bam	alignments	ENCSR000BGY	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					IRF4-human	ENCAB000AHZ	DNA		see document	see document		2011-07-18	ENCODE		see document			2	1							967009304	Richard Myers, HAIB	012abc81238109e9790a9024328d08ff	https://www.encodeproject.org/files/ENCFF000NWK/@@download/ENCFF000NWK.bam	hg19			released		biological replicates with identical biosample		
ENCFF000OHP	bam	alignments	ENCSR000BND	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					ZEB1-human	ENCAB000AMO	DNA		see document	see document		2011-07-18	ENCODE		see document			1	1							479060918	Richard Myers, HAIB	aeafdeca34afeffba7970d1746437b81	https://www.encodeproject.org/files/ENCFF000OHP/@@download/ENCFF000OHP.bam	hg19			released		biological replicates with identical biosample		
ENCFF000OHS	bam	alignments	ENCSR000BND	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					ZEB1-human	ENCAB000AMO	DNA		see document	see document		2011-07-18	ENCODE		see document			2	1							741625516	Richard Myers, HAIB	41936268d35e86c7edb054d88542c8ba	https://www.encodeproject.org/files/ENCFF000OHS/@@download/ENCFF000OHS.bam	hg19			released		biological replicates with identical biosample		
ENCFF000WAS	bam	alignments	ENCSR000DZG	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					EP300-human	ENCAB000AJO	DNA		see document	see document		2011-10-29	ENCODE		see document			1	1							392323523	Michael Snyder, Stanford	af55699051245edf18a0e061146dcd07	https://www.encodeproject.org/files/ENCFF000WAS/@@download/ENCFF000WAS.bam	hg19			released		biological replicates with identical biosample		
ENCFF000WAT	bam	alignments	ENCSR000DZG	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					EP300-human	ENCAB000AJO	DNA		see document	see document		2011-10-29	ENCODE		see document			2	1							420818817	Michael Snyder, Stanford	5f42bbac44759c96755de774cc12af47	https://www.encodeproject.org/files/ENCFF000WAT/@@download/ENCFF000WAT.bam	hg19			released		biological replicates with identical biosample		
ENCFF000WCV	bam	alignments	ENCSR000DZW	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					RFX5-human	ENCAB000AKJ	DNA		see document	see document		2011-10-29	ENCODE		see document			2	1							426143509	Michael Snyder, Stanford	bd09ca37c64a1e02cfe79a5b014826c6	https://www.encodeproject.org/files/ENCFF000WCV/@@download/ENCFF000WCV.bam	hg19			released		biological replicates with identical biosample		
ENCFF000WCW	bam	alignments	ENCSR000DZW	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					RFX5-human	ENCAB000AKJ	DNA		see document	see document		2011-10-29	ENCODE		see document			1	1							519972562	Michael Snyder, Stanford	6f8fe96f6ba0995798a501d3d188f6a8	https://www.encodeproject.org/files/ENCFF000WCW/@@download/ENCFF000WCW.bam	hg19			released		biological replicates with identical biosample		
ENCFF866PMJ	bam	alignments	ENCSR835XKS	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					TRIM22-human	ENCAB000BNM	DNA					2016-07-28	ENCODE					2							ENCFF061MAR, ENCFF177PDI, ENCFF807MUK	3680830088	ENCODE Processing Pipeline	6c577faa9d34df7a78d4d84cf259e426	https://www.encodeproject.org/files/ENCFF866PMJ/@@download/ENCFF866PMJ.bam	hg19			released	low read depth			
ENCFF192BTS	bam	alignments	ENCSR835XKS	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					TRIM22-human	ENCAB000BNM	DNA					2016-07-28	ENCODE					1							ENCFF050IAW, ENCFF243YFW, ENCFF807MUK	2960123171	ENCODE Processing Pipeline	c4d8feebefafc207d4c023b6702fb659	https://www.encodeproject.org/files/ENCFF192BTS/@@download/ENCFF192BTS.bam	hg19			released	low read depth			
ENCFF465CEB	bam	alignments	ENCSR835XKS	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					TRIM22-human	ENCAB000BNM	DNA					2016-07-28	ENCODE					2			100				ENCFF061MAR, ENCFF177PDI, ENCFF643CGH	3685289463	ENCODE Processing Pipeline	a17b97c68a535b2e2d71a0e7a05b3efa	https://www.encodeproject.org/files/ENCFF465CEB/@@download/ENCFF465CEB.bam	GRCh38			released	low read depth			
ENCFF861ZPY	bam	unfiltered alignments	ENCSR835XKS	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					TRIM22-human	ENCAB000BNM	DNA					2016-07-28	ENCODE					1			100				ENCFF050IAW, ENCFF243YFW, ENCFF643CGH	3602552145	ENCODE Processing Pipeline	89bbad9017798342b1c557b4b4993686	https://www.encodeproject.org/files/ENCFF861ZPY/@@download/ENCFF861ZPY.bam	GRCh38			released	low read depth			
ENCFF692TYF	bam	unfiltered alignments	ENCSR835XKS	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					TRIM22-human	ENCAB000BNM	DNA					2016-07-28	ENCODE					2			100				ENCFF061MAR, ENCFF177PDI, ENCFF643CGH	4543698354	ENCODE Processing Pipeline	ce5e80bae381ccb4b0937aff4ba87c74	https://www.encodeproject.org/files/ENCFF692TYF/@@download/ENCFF692TYF.bam	GRCh38			released	low read depth			
ENCFF366RSX	bam	alignments	ENCSR835XKS	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					TRIM22-human	ENCAB000BNM	DNA					2016-07-28	ENCODE					1			100				ENCFF050IAW, ENCFF243YFW, ENCFF643CGH	2964004465	ENCODE Processing Pipeline	5d8201c1a5050532f85f6eb918ddbe06	https://www.encodeproject.org/files/ENCFF366RSX/@@download/ENCFF366RSX.bam	GRCh38			released	low read depth			
ENCFF000OFP	bam	alignments	ENCSR000BQZ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					STAT5A-human	ENCAB000ALI	DNA		see document	see document		2012-02-29	ENCODE		see document			1	1							1529810193	Richard Myers, HAIB	f939075d32b0d1f36de201ccc52b0c4f	https://www.encodeproject.org/files/ENCFF000OFP/@@download/ENCFF000OFP.bam	hg19			released	inconsistent platforms	biological replicates with identical biosample		
ENCFF000OFQ	bam	alignments	ENCSR000BQZ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					STAT5A-human	ENCAB000ALI	DNA		see document	see document		2012-02-29	ENCODE		see document			2	1							1781221680	Richard Myers, HAIB	30962ce2ea184403d150d6b18f11237a	https://www.encodeproject.org/files/ENCFF000OFQ/@@download/ENCFF000OFQ.bam	hg19			released	inconsistent platforms	biological replicates with identical biosample		
ENCFF000TVF	bam	alignments	ENCSR000CIT	CAGE	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens		nucleolus					RNA		see document	see document		2011-12-22	ENCODE					1							ENCFF000TXA	1075811395	Piero Carninci, RIKEN	d4e4b81db44e2902ecb84ac658b3c7c2	https://www.encodeproject.org/files/ENCFF000TVF/@@download/ENCFF000TVF.bam	hg19			released	inconsistent platforms			
ENCFF945PZX	bam	alignments	ENCSR000CIT	CAGE	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens		nucleolus					RNA		see document	see document		2011-12-22	ENCODE					1							ENCFF000TXA	2980266717	Anshul Kundaje, Stanford	04692919990954240ef5a77f60bf600c	https://www.encodeproject.org/files/ENCFF945PZX/@@download/ENCFF945PZX.bam	GRCh38			archived	inconsistent platforms			
ENCFF000NVR	bam	alignments	ENCSR000BRU	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					FOXM1-human	ENCAB000AGP	DNA		see document	see document		2012-02-29	ENCODE		see document			2	1							1034753065	Richard Myers, HAIB	1193f583a762384e5e2671b514bd6e03	https://www.encodeproject.org/files/ENCFF000NVR/@@download/ENCFF000NVR.bam	hg19			released	inconsistent platforms	biological replicates with identical biosample		
ENCFF000NVU	bam	alignments	ENCSR000BRU	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					FOXM1-human	ENCAB000AGP	DNA		see document	see document		2012-02-29	ENCODE		see document			1	1							1606884365	Richard Myers, HAIB	2aeaa3b8c8f9c098dc2d8b8d6b72c4a9	https://www.encodeproject.org/files/ENCFF000NVU/@@download/ENCFF000NVU.bam	hg19			released	inconsistent platforms	biological replicates with identical biosample		
ENCFF000NZY	bam	alignments	ENCSR000BQM	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					PML-human	ENCAB000AKA	DNA		see document	see document		2012-02-29	ENCODE		see document			1	1							1554317554	Richard Myers, HAIB	9631e3c5c14af7c6bf2910915e9a9f4d	https://www.encodeproject.org/files/ENCFF000NZY/@@download/ENCFF000NZY.bam	hg19			released	inconsistent platforms	biological replicates with identical biosample		
